Donor,Acceptor,Donor Smiles,Acceptor Smiles,Donor_can_smiles,Acceptor_can_smiles,PCE
D-0F,C8-ITIC,CCC(CCCC)CC(S1)=CC=C1C2=C(C=C(C3=CC=C(C(S4)=C5C(C(C6=C(CC(CCCC)CC)SC(CC(CCCC)CC)=C6C5=O)=O)=C4C7=CC=CS7)S3)S8)C8=C(C9=CC=C(CC(CCCC)CC)S9)C%10=C2SC=C%10,O=C(C1=CC=CC=C1C/2=C(C#N)/C#N)C2=C/C3=CC4=C(C(C(CCCCCCCC)(CCCCCCCC)C5=CC(C(SC6=C7SC(/C=C8C(C(C=CC=C9)=C9C\8=C(C#N)\C#N)=O)=C6)=C7C%10(CCCCCCCC)CCCCCCCC)=C%10C=C5%11)=C%11S4)S3,CCCCC(Cc1ccc(s1)c1c2cc(sc2c(c2c1scc2)c1ccc(s1)CC(CCCC)CC)c1ccc(s1)c1sc(c2c1C(=O)c1c(C2=O)c(sc1CC(CCCC)CC)CC(CCCC)CC)c1cccs1)CC,CCCCCCCCC1(CCCCCCCC)c2cc3c4sc5c(c4C(c3cc2c2c1c1sc(cc1s2)/C=C/1\C(=O)c2c(C1=C(C#N)C#N)cccc2)(CCCCCCCC)CCCCCCCC)sc(c5)/C=C/1\C(=O)c2c(C1=C(C#N)C#N)cccc2,11.6
D-2F,C8-ITIC,CCC(CCCC)CC(S1)=CC=C1C2=C(C=C(C3=C(F)C=C(C(S4)=C5C(C(C6=C(CC(CCCC)CC)SC(CC(CCCC)CC)=C6C5=O)=O)=C4C7=CC(F)=CS7)S3)S8)C8=C(C9=CC=C(CC(CCCC)CC)S9)C%10=C2SC=C%10,O=C(C1=CC=CC=C1C/2=C(C#N)/C#N)C2=C/C3=CC4=C(C(C(CCCCCCCC)(CCCCCCCC)C5=CC(C(SC6=C7SC(/C=C8C(C(C=CC=C9)=C9C\8=C(C#N)\C#N)=O)=C6)=C7C%10(CCCCCCCC)CCCCCCCC)=C%10C=C5%11)=C%11S4)S3,CCCCC(Cc1ccc(s1)c1c2cc(sc2c(c2c1scc2)c1ccc(s1)CC(CCCC)CC)c1sc(cc1F)c1sc(c2c1C(=O)c1c(C2=O)c(sc1CC(CCCC)CC)CC(CCCC)CC)c1scc(c1)F)CC,CCCCCCCCC1(CCCCCCCC)c2cc3c4sc5c(c4C(c3cc2c2c1c1sc(cc1s2)/C=C/1\C(=O)c2c(C1=C(C#N)C#N)cccc2)(CCCCCCCC)CCCCCCCC)sc(c5)/C=C/1\C(=O)c2c(C1=C(C#N)C#N)cccc2,12.2
D-4F,C8-ITIC,CCC(CCCC)CC(S1)=CC=C1C2=C(C(F)=C(C3=C(F)C=C(C(S4)=C5C(C(C6=C(CC(CCCC)CC)SC(CC(CCCC)CC)=C6C5=O)=O)=C4C7=CC(F)=CS7)S3)S8)C8=C(C9=CC=C(CC(CCCC)CC)S9)C%10=C2SC=C%10F,O=C(C1=CC=CC=C1C/2=C(C#N)/C#N)C2=C/C3=CC4=C(C(C(CCCCCCCC)(CCCCCCCC)C5=CC(C(SC6=C7SC(/C=C8C(C(C=CC=C9)=C9C\8=C(C#N)\C#N)=O)=C6)=C7C%10(CCCCCCCC)CCCCCCCC)=C%10C=C5%11)=C%11S4)S3,CCCCC(Cc1ccc(s1)c1c2sc(c(c2c(c2c1c(F)cs2)c1ccc(s1)CC(CCCC)CC)F)c1sc(cc1F)c1sc(c2c1C(=O)c1c(C2=O)c(sc1CC(CCCC)CC)CC(CCCC)CC)c1scc(c1)F)CC,CCCCCCCCC1(CCCCCCCC)c2cc3c4sc5c(c4C(c3cc2c2c1c1sc(cc1s2)/C=C/1\C(=O)c2c(C1=C(C#N)C#N)cccc2)(CCCCCCCC)CCCCCCCC)sc(c5)/C=C/1\C(=O)c2c(C1=C(C#N)C#N)cccc2,8.8
D-0F,ITIC,CCC(CCCC)CC(S1)=CC=C1C2=C(C=C(C3=CC=C(C(S4)=C5C(C(C6=C(CC(CCCC)CC)SC(CC(CCCC)CC)=C6C5=O)=O)=C4C7=CC=CS7)S3)S8)C8=C(C9=CC=C(CC(CCCC)CC)S9)C%10=C2SC=C%10,O=C(C(C=CC=C1)=C1C/2=C(C#N)\C#N)C2=C/C3=CC(SC4=C5C(C6=CC=C(CCCCCC)C=C6)(C7=CC=C(CCCCCC)C=C7)C8=C4C=C(C(C9=CC=C(CCCCCC)C=C9)(C%10=CC=C(CCCCCC)C=C%10)C%11=C%12SC%13=C%11SC(/C=C%14C(C(C=CC=C%15)=C%15C/%14=C(C#N)\C#N)=O)=C%13)C%12=C8)=C5S3,CCCCC(Cc1ccc(s1)c1c2cc(sc2c(c2c1scc2)c1ccc(s1)CC(CCCC)CC)c1ccc(s1)c1sc(c2c1C(=O)c1c(C2=O)c(sc1CC(CCCC)CC)CC(CCCC)CC)c1cccs1)CC,CCCCCCc1ccc(cc1)C1(c2ccc(cc2)CCCCCC)c2cc3c4sc5c(c4C(c3cc2c2c1c1sc(cc1s2)/C=C/1\C(=O)c2c(C1=C(C#N)C#N)cccc2)(c1ccc(cc1)CCCCCC)c1ccc(cc1)CCCCCC)sc(c5)/C=C\1/C(=O)c2c(C1=C(C#N)C#N)cccc2,8
D-2F,ITIC,CCC(CCCC)CC(S1)=CC=C1C2=C(C=C(C3=C(F)C=C(C(S4)=C5C(C(C6=C(CC(CCCC)CC)SC(CC(CCCC)CC)=C6C5=O)=O)=C4C7=CC(F)=CS7)S3)S8)C8=C(C9=CC=C(CC(CCCC)CC)S9)C%10=C2SC=C%10,O=C(C(C=CC=C1)=C1C/2=C(C#N)\C#N)C2=C/C3=CC(SC4=C5C(C6=CC=C(CCCCCC)C=C6)(C7=CC=C(CCCCCC)C=C7)C8=C4C=C(C(C9=CC=C(CCCCCC)C=C9)(C%10=CC=C(CCCCCC)C=C%10)C%11=C%12SC%13=C%11SC(/C=C%14C(C(C=CC=C%15)=C%15C/%14=C(C#N)\C#N)=O)=C%13)C%12=C8)=C5S3,CCCCC(Cc1ccc(s1)c1c2cc(sc2c(c2c1scc2)c1ccc(s1)CC(CCCC)CC)c1sc(cc1F)c1sc(c2c1C(=O)c1c(C2=O)c(sc1CC(CCCC)CC)CC(CCCC)CC)c1scc(c1)F)CC,CCCCCCc1ccc(cc1)C1(c2ccc(cc2)CCCCCC)c2cc3c4sc5c(c4C(c3cc2c2c1c1sc(cc1s2)/C=C/1\C(=O)c2c(C1=C(C#N)C#N)cccc2)(c1ccc(cc1)CCCCCC)c1ccc(cc1)CCCCCC)sc(c5)/C=C\1/C(=O)c2c(C1=C(C#N)C#N)cccc2,8.9
D-4F,ITIC,CCC(CCCC)CC(S1)=CC=C1C2=C(C(F)=C(C3=C(F)C=C(C(S4)=C5C(C(C6=C(CC(CCCC)CC)SC(CC(CCCC)CC)=C6C5=O)=O)=C4C7=CC(F)=CS7)S3)S8)C8=C(C9=CC=C(CC(CCCC)CC)S9)C%10=C2SC=C%10F,O=C(C(C=CC=C1)=C1C/2=C(C#N)\C#N)C2=C/C3=CC(SC4=C5C(C6=CC=C(CCCCCC)C=C6)(C7=CC=C(CCCCCC)C=C7)C8=C4C=C(C(C9=CC=C(CCCCCC)C=C9)(C%10=CC=C(CCCCCC)C=C%10)C%11=C%12SC%13=C%11SC(/C=C%14C(C(C=CC=C%15)=C%15C/%14=C(C#N)\C#N)=O)=C%13)C%12=C8)=C5S3,CCCCC(Cc1ccc(s1)c1c2sc(c(c2c(c2c1c(F)cs2)c1ccc(s1)CC(CCCC)CC)F)c1sc(cc1F)c1sc(c2c1C(=O)c1c(C2=O)c(sc1CC(CCCC)CC)CC(CCCC)CC)c1scc(c1)F)CC,CCCCCCc1ccc(cc1)C1(c2ccc(cc2)CCCCCC)c2cc3c4sc5c(c4C(c3cc2c2c1c1sc(cc1s2)/C=C/1\C(=O)c2c(C1=C(C#N)C#N)cccc2)(c1ccc(cc1)CCCCCC)c1ccc(cc1)CCCCCC)sc(c5)/C=C\1/C(=O)c2c(C1=C(C#N)C#N)cccc2,4.4
D-0F,IT-4F,CCC(CCCC)CC(S1)=CC=C1C2=C(C=C(C3=CC=C(C(S4)=C5C(C(C6=C(CC(CCCC)CC)SC(CC(CCCC)CC)=C6C5=O)=O)=C4C7=CC=CS7)S3)S8)C8=C(C9=CC=C(CC(CCCC)CC)S9)C%10=C2SC=C%10,O=C1C2=C(C=C(F)C(F)=C2)C(/C1=C/C3=CC(S4)=C(S3)C5=C4C6=CC(C(C7=CC=C(CCCCCC)C=C7)(C8=CC=C(CCCCCC)C=C8)C9=C%10SC%11=C9SC(/C=C%12/C(C(C=C(F)C(F)=C%13)=C%13C%12=O)=C(C#N)\C#N)=C%11)=C%10C=C6C5(C%14=CC=C(CCCCCC)C=C%14)C%15=CC=C(CCCCCC)C=C%15)=C(C#N)/C#N,CCCCC(Cc1ccc(s1)c1c2cc(sc2c(c2c1scc2)c1ccc(s1)CC(CCCC)CC)c1ccc(s1)c1sc(c2c1C(=O)c1c(C2=O)c(sc1CC(CCCC)CC)CC(CCCC)CC)c1cccs1)CC,CCCCCCc1ccc(cc1)C1(c2ccc(cc2)CCCCCC)c2cc3c4sc5c(c4C(c3cc2c2c1c1sc(cc1s2)/C=C\1/C(=C(C#N)C#N)c2c(C1=O)cc(c(c2)F)F)(c1ccc(cc1)CCCCCC)c1ccc(cc1)CCCCCC)sc(c5)/C=C\1/C(=C(C#N)C#N)c2c(C1=O)cc(c(c2)F)F,7.8
D-2F,IT-4F,CCC(CCCC)CC(S1)=CC=C1C2=C(C=C(C3=C(F)C=C(C(S4)=C5C(C(C6=C(CC(CCCC)CC)SC(CC(CCCC)CC)=C6C5=O)=O)=C4C7=CC(F)=CS7)S3)S8)C8=C(C9=CC=C(CC(CCCC)CC)S9)C%10=C2SC=C%10,O=C1C2=C(C=C(F)C(F)=C2)C(/C1=C/C3=CC(S4)=C(S3)C5=C4C6=CC(C(C7=CC=C(CCCCCC)C=C7)(C8=CC=C(CCCCCC)C=C8)C9=C%10SC%11=C9SC(/C=C%12/C(C(C=C(F)C(F)=C%13)=C%13C%12=O)=C(C#N)\C#N)=C%11)=C%10C=C6C5(C%14=CC=C(CCCCCC)C=C%14)C%15=CC=C(CCCCCC)C=C%15)=C(C#N)/C#N,CCCCC(Cc1ccc(s1)c1c2cc(sc2c(c2c1scc2)c1ccc(s1)CC(CCCC)CC)c1sc(cc1F)c1sc(c2c1C(=O)c1c(C2=O)c(sc1CC(CCCC)CC)CC(CCCC)CC)c1scc(c1)F)CC,CCCCCCc1ccc(cc1)C1(c2ccc(cc2)CCCCCC)c2cc3c4sc5c(c4C(c3cc2c2c1c1sc(cc1s2)/C=C\1/C(=C(C#N)C#N)c2c(C1=O)cc(c(c2)F)F)(c1ccc(cc1)CCCCCC)c1ccc(cc1)CCCCCC)sc(c5)/C=C\1/C(=C(C#N)C#N)c2c(C1=O)cc(c(c2)F)F,10.9
D-4F,IT-4F,CCC(CCCC)CC(S1)=CC=C1C2=C(C(F)=C(C3=C(F)C=C(C(S4)=C5C(C(C6=C(CC(CCCC)CC)SC(CC(CCCC)CC)=C6C5=O)=O)=C4C7=CC(F)=CS7)S3)S8)C8=C(C9=CC=C(CC(CCCC)CC)S9)C%10=C2SC=C%10F,O=C1C2=C(C=C(F)C(F)=C2)C(/C1=C/C3=CC(S4)=C(S3)C5=C4C6=CC(C(C7=CC=C(CCCCCC)C=C7)(C8=CC=C(CCCCCC)C=C8)C9=C%10SC%11=C9SC(/C=C%12/C(C(C=C(F)C(F)=C%13)=C%13C%12=O)=C(C#N)\C#N)=C%11)=C%10C=C6C5(C%14=CC=C(CCCCCC)C=C%14)C%15=CC=C(CCCCCC)C=C%15)=C(C#N)/C#N,CCCCC(Cc1ccc(s1)c1c2sc(c(c2c(c2c1c(F)cs2)c1ccc(s1)CC(CCCC)CC)F)c1sc(cc1F)c1sc(c2c1C(=O)c1c(C2=O)c(sc1CC(CCCC)CC)CC(CCCC)CC)c1scc(c1)F)CC,CCCCCCc1ccc(cc1)C1(c2ccc(cc2)CCCCCC)c2cc3c4sc5c(c4C(c3cc2c2c1c1sc(cc1s2)/C=C\1/C(=C(C#N)C#N)c2c(C1=O)cc(c(c2)F)F)(c1ccc(cc1)CCCCCC)c1ccc(cc1)CCCCCC)sc(c5)/C=C\1/C(=C(C#N)C#N)c2c(C1=O)cc(c(c2)F)F,9.9
PffBT4T-2DT,FBR,FC(C(F)=C(C1=NSN=C12)C3=CC(CC(CCCCCCCCCCCC)CCCCCCCCCC)=C(S3)C4=CC5=C(C=C(C)S5)S4)=C2C6=CC(CC(CCCCCCCCCCCC)CCCCCCCCCC)=C(C)S6,O=C(N1CC)/C(SC1=S)=C/C(C2=NSN=C23)=CC=C3C4=CC(C5(CCCCCCCCC)CCCCCCCCC)=C(C=C4)C6=C5C=C(C7=CC=C(/C=C(C(N8CC)=O)\SC8=S)C9=NSN=C97)C=C6,CCCCCCCCCCCCC(Cc1cc(sc1C)c1c(F)c(F)c(c2c1nsn2)c1sc(c(c1)CC(CCCCCCCCCCCC)CCCCCCCCCC)c1cc2c(s1)cc(s2)C)CCCCCCCCCC,CCCCCCCCCC1(CCCCCCCCC)c2cc(ccc2c2c1cc(cc2)c1ccc(c2c1nsn2)/C=C/1\SC(=S)N(C1=O)CC)c1ccc(c2c1nsn2)/C=C/1\SC(=S)N(C1=O)CC,7.8
